time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
123400,2025-08-24 20:42:07,39.0868839171552,-76.6192698893693,0,Available with any HD 360 subscription,Available with any HD 360 subscription,76.814901736292,0.328084,0,0,0,17,5,0,76.814901736292,0,0,0,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,6,P-GPS,"SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 30331)"
123500,2025-08-24 20:42:07,39.0868838815224,-76.6192698876695,0,,,76.814901736292,0.328084,0,0.013009514852,0.013009514852,17,5,0,76.814901736292,0,0,0.013009514852,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,
123600,2025-08-24 20:42:08,39.0868839636982,-76.6192698942974,0,,,76.814901736292,0.328084,0,0.0170384519888,0.043050198228,17,5,0,76.814901736292,0,0,0.0170384519888,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,"Aircraft in Warning Zone (Seaplane Base). Fly with caution"
123700,2025-08-24 20:42:08,39.0868839583714,-76.6192698820212,0,,,76.814901736292,0.328084,0,0.0151810044228,0.047032809904,17,5,0,76.814901736292,0,0,0.0170384519888,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,"Setting new Return-To-Home altitude to 65m (213 ft). Data Recorder File Index is 64. Setting new Maximum Flight Altitude to 120m (394 ft)"
123800,2025-08-24 20:42:08,39.0868838757034,-76.6192699685007,0,,,76.814901736292,0.328084,0,2.14755256216,0.085885173352,16,5,0,76.814901736292,0,0,2.14755256216,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,
123900,2025-08-24 20:42:08,39.0868838708681,-76.6192699316033,0,,,76.814901736292,0.328084,0,2.15638786428,0.096481958468,16,5,0,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,
124000,2025-08-24 20:42:08,39.0868837797142,-76.6192702825764,0,,,76.814901736292,0.328084,0,2.10844494936,0.201291673108,16,5,0,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,0,104.18,76.814901736292,0,41,Motors_Started,
124100,2025-08-24 20:42:08,39.086883792301,-76.6192703218276,0,,,76.814901736292,0.328084,0,2.09738523772,0.21331857638,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124200,2025-08-24 20:42:08,39.0868837861644,-76.6192704348103,0,,,76.814901736292,0.328084,0,2.07677172,0.245392724388,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124300,2025-08-24 20:42:08,39.0868837871077,-76.6192704458751,0,,,76.814901736292,0.328084,0,2.0743603026,0.24854495546,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124400,2025-08-24 20:42:08,39.0868838794002,-76.6192706106583,0,,,76.814901736292,0.328084,0,2.01782158688,0.30609088906,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124500,2025-08-24 20:42:09,39.086883879789,-76.6192706143227,0,,,76.814901736292,0.328084,0,2.01700465772,0.307138133188,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124600,2025-08-24 20:42:09,39.0868838806371,-76.6192707055041,0,,,76.814901736292,0.328084,0,1.9991634498,0.33296260908,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124700,2025-08-24 20:42:09,39.0868838790092,-76.6192707064753,0,,,76.814901736292,0.328084,0,1.99941279364,0.33361549624,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124800,2025-08-24 20:42:09,39.0868837821178,-76.6192708037272,0,,,76.814901736292,0.328084,0,2.00717526108,0.3784284898,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
124900,2025-08-24 20:42:09,39.0868837837055,-76.6192708036306,0,,,76.814901736292,0.328084,0,2.0067585944,0.37900919848,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,41,Motors_Started,
125000,2025-08-24 20:42:09,39.0868837795853,-76.6192709027616,0,,,76.814901736292,0.328084,0,1.98941279332,0.40712271644,16,5,16.257,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.081,4.079,4.079,4.067,0,0,2.151,104.18,76.814901736292,0,11,AutoTakeoff,
125100,2025-08-24 20:42:09,39.0868837807372,-76.6192709015778,0,,,76.814901736292,0.328084,0,1.98931436812,0.4076607742,16,5,16.224,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,76.814901736292,0,11,AutoTakeoff,
125200,2025-08-24 20:42:09,39.0868837784726,-76.6192711026625,0,,,76.814901736292,0.328084,0,1.953166073,0.46461287576,16,5,16.224,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,76.814901736292,0,11,AutoTakeoff,
125300,2025-08-24 20:42:09,39.0868837760472,-76.6192710999722,0,,,76.814901736292,0.328084,0,1.95433405204,0.4657808548,16,5,16.224,76.814901736292,0,0,2.15638786428,0,0,0,87.1, 3.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,76.814901736292,0,11,AutoTakeoff,
125400,2025-08-24 20:42:09,39.0868836756914,-76.6192711958885,0,,,76.814901736292,0.328084,0,1.96574153272,0.5113681266,16,5,16.224,76.814901736292,0,0,2.15638786428,0,0,0,87, 3.3, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,76.814901736292,0,11,AutoTakeoff,
125500,2025-08-24 20:42:09,39.0868836726468,-76.6192711899809,0,,,76.814901736292,0.328084,0,1.9676509816,0.51337928152,16,5,16.224,76.814901736292,0,0,2.15638786428,0,0,0,87, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,76.814901736292,0,11,AutoTakeoff,
125600,2025-08-24 20:42:10,39.086883575002,-76.6192712918187,0.328084,,,77.142985736292,0.328084,0,1.97822840976,0.55921261632,15,5,16.224,77.142985736292,0.328084,0,2.15638786428,0,0,0,86.9, 2.7, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,77.142985736292,0.328084,11,AutoTakeoff,
125700,2025-08-24 20:42:10,39.0868835736499,-76.6192712571149,0.328084,,,77.142985736292,0.328084,0,1.98455386928,0.56905513632,15,5,16.224,77.142985736292,0.328084,0,2.15638786428,0,0,0,86.8, -0.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,77.142985736292,0.328084,11,AutoTakeoff,
125800,2025-08-24 20:42:10,39.0868835787555,-76.619271330278,0.328084,,,77.142985736292,0.328084,0.223694,1.97059389508,0.58985566192,16,5,16.224,77.142985736292,0.328084,0.223694,2.15638786428,0,0.223694,-0.223694,86.9, -6.2, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,77.142985736292,0.328084,11,AutoTakeoff,
125900,2025-08-24 20:42:10,39.0868835901968,-76.6192710970363,0.328084,,,77.142985736292,0.328084,0.447388,2.00757224272,0.65604004724,16,5,16.224,77.142985736292,0.328084,0.447388,2.15638786428,0,0.447388,-0.447388,86.8, -10.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,77.142985736292,0.328084,11,AutoTakeoff,"SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Remote ID functionality normal (Code: 30331)"
126000,2025-08-24 20:42:10,39.0868837201672,-76.6192706709189,0.328084,,,77.142985736292,0.984252,0.894776,2.04906174536,0.7856955632,16,5,16.224,77.142985736292,0.328084,0.894776,2.15638786428,0,0.894776,-0.671082,86.8, -7.8, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.06,4.058,4.058,4.057,0,0,4.078,104.18,77.142985736292,0.328084,11,AutoTakeoff,
126100,2025-08-24 20:42:10,39.0868837735271,-76.6192701033372,0.656168,,,77.471069736292,1.312336,1.11847,2.14588917628,0.9476050172,16,5,16.258,77.471069736292,0.656168,1.11847,2.15638786428,0,1.11847,-0.894776,87, -0.4, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,77.471069736292,0.656168,11,AutoTakeoff,
126200,2025-08-24 20:42:10,39.0868837509548,-76.6192694202756,0.656168,,,77.471069736292,1.64042,1.11847,2.29306437784,1.14122050896,16,5,16.258,77.471069736292,0.656168,1.11847,2.29306437784,0,1.11847,-1.11847,86.9, 5.4, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,77.471069736292,0.656168,11,AutoTakeoff,
126300,2025-08-24 20:42:10,39.0868838277075,-76.6192687241929,0.984252,,,77.799153736292,1.968504,1.11847,2.42722776796,1.34032484604,16,5,16.258,77.799153736292,0.984252,1.11847,2.42722776796,0,1.11847,-1.342164,87, 7.1, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,101.6,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,77.799153736292,0.984252,11,AutoTakeoff,
126400,2025-08-24 20:42:10,39.0868840641597,-76.6192683186544,0.984252,,,77.799153736292,2.296588,0.894776,2.46901582704,1.48396330208,15,5,16.258,77.799153736292,0.984252,1.11847,2.46901582704,0,0.894776,-1.342164,87.2, 6.5, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,77.799153736292,0.984252,11,AutoTakeoff,
126500,2025-08-24 20:42:10,39.0868841260654,-76.6192679200804,1.312336,,,78.127237736292,2.624672,0.894776,2.55047908424,1.59907485432,15,5,16.258,78.127237736292,1.312336,1.11847,2.55047908424,0,0.671082,-1.342164,87.4, 5.6, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,78.127237736292,1.312336,11,AutoTakeoff,
126600,2025-08-24 20:42:11,39.0868841595066,-76.6192677822198,1.64042,,,78.455321736292,2.952756,0.671082,2.57692593548,1.6399770866,14,5,16.258,78.455321736292,1.64042,1.11847,2.57692593548,0,0.671082,-1.11847,87.4, 5, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,78.455321736292,1.64042,11,AutoTakeoff,
126700,2025-08-24 20:42:11,39.086884227549,-76.6192673944181,1.64042,,,78.455321736292,3.28084,0.447388,2.65806110868,1.75256895372,14,5,16.258,78.455321736292,1.64042,1.11847,2.65806110868,0,0.447388,-1.11847,87.2, 4.6, 1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,78.455321736292,1.64042,11,AutoTakeoff,
126800,2025-08-24 20:42:11,39.0868845599595,-76.619267318722,1.968504,,,78.783405736292,3.28084,0.447388,2.6179134696,1.87572840648,15,5,16.258,78.783405736292,1.968504,1.11847,2.65806110868,0,0.447388,-1.11847,87.3, 4.4, 1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,78.783405736292,1.968504,11,AutoTakeoff,
126900,2025-08-24 20:42:11,39.0868846168565,-76.6192670199854,1.968504,,,78.783405736292,3.608924,0.223694,2.6837107158,1.96283798932,15,5,16.258,78.783405736292,1.968504,1.11847,2.6837107158,0,0.223694,-1.11847,87.2, 4, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,78.783405736292,1.968504,11,AutoTakeoff,
127000,2025-08-24 20:42:11,39.0868847585272,-76.6192669872572,2.296588,,,79.111489736292,3.937008,0.223694,2.66937672584,2.01535111436,14,5,16.258,79.111489736292,2.296588,1.11847,2.6837107158,0,0.223694,-0.894776,87.2, 3.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.044,4.04,4.036,4.034,0,0,2.891,104.18,79.111489736292,2.296588,11,AutoTakeoff,
127100,2025-08-24 20:42:11,39.0868847990354,-76.619266836265,2.296588,,,79.111489736292,3.937008,0.223694,2.70181439092,2.06059389796,14,5,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0.223694,-0.671082,87.2, 3.6, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,6,P-GPS,
127200,2025-08-24 20:42:11,39.0868847473541,-76.6192670672247,2.296588,,,79.111489736292,3.608924,0,2.65071530792,2.12866476628,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,-0.447388,87.2, 3.4, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,6,P-GPS,
127300,2025-08-24 20:42:11,39.0868847942564,-76.6192669930379,2.296588,,,79.111489736292,3.28084,0,2.66231635816,2.15576122384,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87.1, 2.8, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,6,P-GPS,
127400,2025-08-24 20:42:11,39.0868850195888,-76.6192669303188,2.296588,,,79.111489736292,3.608924,0,2.64461622636,2.23986883808,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87.1, 2.8, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,6,P-GPS,
127500,2025-08-24 20:42:11,39.0868850766847,-76.6192668797628,2.296588,,,79.111489736292,3.608924,0,2.64957685644,2.26514771028,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87.2, 3.8, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
127600,2025-08-24 20:42:12,39.0868852562395,-76.6192671450842,2.296588,,,79.111489736292,3.608924,0,2.5550525752,2.36483275284,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87.1, 4, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
127700,2025-08-24 20:42:12,39.0868852828505,-76.6192672396981,2.296588,,,79.111489736292,3.28084,0,2.526574884,2.39333012908,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87.1, 3.1, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
127800,2025-08-24 20:42:12,39.0868854857045,-76.6192674608278,2.296588,,,79.111489736292,3.608924,0,2.44100729596,2.49028223192,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,0,87, 1.8, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
127900,2025-08-24 20:42:12,39.086885454936,-76.6192676065497,2.296588,,,79.111489736292,3.28084,0.223694,2.40672251796,2.53304798132,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,-0.223694,0,87, 0.7, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
128000,2025-08-24 20:42:12,39.0868856400968,-76.619267694333,2.296588,,,79.111489736292,3.608924,0,2.35916346132,2.60503289176,14,4,16.089,79.111489736292,2.296588,1.11847,2.70181439092,0,0,-0.223694,87, 0, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.025,4.022,4.022,4.021,0,0,9.376,104.18,79.111489736292,2.296588,14,Waypoint,
128100,2025-08-24 20:42:12,39.0868856039128,-76.6192677954617,2.624672,,,79.439573736292,3.608924,0,2.33706700392,2.63656832584,14,4,16.084,79.439573736292,2.624672,1.11847,2.70181439092,0,0,-0.223694,86.9, -0.3, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.439573736292,2.624672,14,Waypoint,
128200,2025-08-24 20:42:12,39.0868857316584,-76.6192681238154,2.624672,,,79.439573736292,3.608924,0,2.23356962528,2.74058079636,14,4,16.084,79.439573736292,2.624672,1.11847,2.70181439092,0,0,-0.447388,87, -0.2, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.439573736292,2.624672,14,Waypoint,
128300,2025-08-24 20:42:12,39.0868856799212,-76.6192681647056,2.624672,,,79.439573736292,3.608924,0,2.22954731544,2.76272646636,14,4,16.084,79.439573736292,2.624672,1.11847,2.70181439092,0,0,-0.671082,87.1, -0.2, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.439573736292,2.624672,14,Waypoint,
128400,2025-08-24 20:42:12,39.0868857107266,-76.6192685602733,2.624672,,,79.439573736292,3.937008,0,2.12133536972,2.8753117718,14,4,16.084,79.439573736292,2.624672,1.11847,2.70181439092,0,0,-0.671082,87.1, -0.4, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.439573736292,2.624672,14,Waypoint,
128500,2025-08-24 20:42:12,39.0868856626461,-76.619268569913,2.952756,,,79.767657736292,3.608924,0,2.12549547484,2.89306439704,14,4,16.084,79.767657736292,2.952756,1.11847,2.70181439092,0,0,-0.894776,87.1, -0.7, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.767657736292,2.952756,14,Waypoint,
128600,2025-08-24 20:42:13,39.086885515492,-76.6192687246013,2.952756,,,79.767657736292,3.937008,0,2.10676515928,2.96235901868,14,4,16.084,79.767657736292,2.952756,1.11847,2.70181439092,0,0,-1.11847,87, -0.9, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,79.767657736292,2.952756,14,Waypoint,
128700,2025-08-24 20:42:13,39.0868854466055,-76.6192686686424,3.28084,,,80.095741736292,3.937008,0,2.13165361152,2.99207030572,14,4,16.084,80.095741736292,3.28084,1.11847,2.70181439092,0,0,-1.342164,87, -0.8, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,80.095741736292,3.28084,14,Waypoint,
128800,2025-08-24 20:42:13,39.0868857775527,-76.6192683297648,3.608924,,,80.423825736292,4.265092,0,2.17310374408,3.1463091558,14,4,16.084,80.423825736292,3.608924,1.11847,2.70181439092,0,0,-1.789552,86.9, -0.4, 1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,80.423825736292,3.608924,14,Waypoint,
128900,2025-08-24 20:42:13,39.0868856960164,-76.6192681462058,3.937008,,,80.751909736292,4.593176,0,2.23230322104,3.20620089,14,4,16.084,80.751909736292,3.937008,1.11847,2.70181439092,0,0,-2.013246,87, 0.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,80.751909736292,3.937008,14,Waypoint,
129000,2025-08-24 20:42:13,39.0868858834279,-76.6192681040739,4.265092,,,81.079993736292,4.265092,0.223694,2.21979665896,3.27561034104,14,4,16.084,81.079993736292,4.265092,1.11847,2.70181439092,0,0.223694,-2.23694,87, 1.3, 0,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.033,4.03,4.027,4.026,0,0,8.33,104.36,81.079993736292,4.265092,14,Waypoint,
129100,2025-08-24 20:42:13,39.0868858111498,-76.6192679159718,4.593176,,,81.408077736292,3.937008,0.223694,2.27881240888,3.3350394768,14,4,16.056,81.408077736292,4.593176,1.11847,2.70181439092,0,0.223694,-2.684328,87, 2.1, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,81.408077736292,4.593176,14,Waypoint,"SD card speed low. Normal use may be affected. Replace SD card (Code: 10028)"
129200,2025-08-24 20:42:13,39.0868860916682,-76.6192679196638,4.92126,,,81.736161736292,3.608924,0,2.24558406136,3.4374016848,14,4,16.056,81.736161736292,4.92126,1.11847,2.70181439092,0,0,-2.908022,86.9, 2.7, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,81.736161736292,4.92126,14,Waypoint,
129300,2025-08-24 20:42:13,39.0868859842879,-76.6192677864043,5.577428,,,82.392329736292,3.608924,0,2.29333668756,3.491798012,14,4,16.056,82.392329736292,5.577428,1.11847,2.70181439092,0,0,-3.35541,86.9, 3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,82.392329736292,5.577428,14,Waypoint,
129400,2025-08-24 20:42:13,39.0868865563708,-76.6192678910856,5.905512,,,82.720413736292,3.608924,0,2.2095145064,3.7026247904,13,4,16.056,82.720413736292,5.905512,1.11847,2.70181439092,0,0,-3.802798,86.9, 2.2, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,82.720413736292,5.905512,14,Waypoint,"Home Point updated (Code: 123200)"
129500,2025-08-24 20:42:13,39.0868865072714,-76.6192678674507,6.56168,,,83.376581736292,2.952756,0,2.22008537288,3.7217520876,13,4,16.056,83.376581736292,6.56168,1.11847,2.70181439092,0,0,-4.250186,87, 0.9, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,83.376581736292,6.56168,14,Waypoint,
129600,2025-08-24 20:42:14,39.0868871343966,-76.6192686141902,7.545932,,,84.360833736292,2.624672,0,1.96944888192,4.033300654,11,4,16.056,84.360833736292,7.545932,1.11847,2.70181439092,0,0,-4.697574,87, 0.3, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,84.360833736292,7.545932,14,Waypoint,
129700,2025-08-24 20:42:14,39.0868872181046,-76.619268630346,8.530184,,,85.345085736292,2.624672,0.223694,1.96078746432,4.0641733584,11,4,16.056,85.345085736292,8.530184,1.11847,2.70181439092,0.223694,0,-5.144962,87, 0.7, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,85.345085736292,8.530184,14,Waypoint,
129800,2025-08-24 20:42:14,39.0868874372305,-76.6192694606388,9.514436,,,86.329337736292,2.624672,0.223694,1.71808076364,4.3125329464,13,4,16.056,86.329337736292,9.514436,1.11847,2.70181439092,0.223694,0,-5.59235,87, 1, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,101.7,0,0,93,4.01,4.006,4.004,4.004,0,0,9.508,104.36,86.329337736292,9.514436,14,Waypoint,
